"state","sex","year","total","daily"
"Arkansas","Females",2012,23.64,17.6
"Arkansas","Both",2012,25.58,18.84
"California","Males",1996,23.53,17.48
"California","Females",1996,17.14,12.54
"California","Both",1996,20.27,14.97
"California","Males",1997,23.44,17.07
"California","Females",1997,17.06,12.43
"California","Both",1997,20.19,14.71
"California","Males",1998,23.34,16.67
"California","Females",1998,17.05,12.29
"California","Both",1998,20.14,14.45
"California","Males",1999,23.26,16.62
"California","Females",1999,16.68,12.15
"California","Both",1999,19.91,14.34
"California","Males",2000,23.16,16.49
"California","Females",2000,16.61,11.99
"California","Both",2000,19.83,14.2
"California","Males",2001,23.16,16.27
"California","Females",2001,16.17,11.64
"California","Both",2001,19.6,13.91
"California","Males",2002,22.9,15.9
"California","Females",2002,15.75,11.33
"California","Both",2002,19.26,13.57
"California","Males",2003,22.61,15.43
"California","Females",2003,15.1,10.79
"California","Both",2003,18.79,13.07
"California","Males",2004,22.21,14.85
"California","Females",2004,14.89,10.51
"California","Both",2004,18.48,12.64
"California","Males",2005,21.67,14.25
"California","Females",2005,14.41,10.13
"California","Both",2005,17.98,12.15
"California","Males",2006,20.83,13.57
"California","Females",2006,13.89,9.79
"California","Both",2006,17.3,11.64
"California","Males",2007,20.18,13.27
"California","Females",2007,13.37,9.51
"California","Both",2007,16.72,11.35
"California","Males",2008,19.47,12.84
"California","Females",2008,12.94,9.21
"California","Both",2008,16.14,11
"California","Males",2009,18.85,12.48
"California","Females",2009,12.34,8.74
"California","Both",2009,15.54,10.58
"California","Males",2010,18.4,12.08
"California","Females",2010,12.14,8.42
"California","Both",2010,15.22,10.22
"California","Males",2011,18.06,11.93
"California","Females",2011,12.14,8.24
"California","Both",2011,15.05,10.05
"California","Males",2012,17.47,11.36
"California","Females",2012,11.76,7.88
"California","Both",2012,14.57,9.59
"Colorado","Males",1996,24.4,19.49
"Colorado","Females",1996,21.44,16.68
"Colorado","Both",1996,22.89,18.06
"Colorado","Males",1997,24.13,18.94
"Colorado","Females",1997,21.25,16.43
"Colorado","Both",1997,22.67,17.66
"Colorado","Males",1998,23.93,18.51
"Colorado","Females",1998,21.23,16.21
"Colorado","Both",1998,22.56,17.34
"Colorado","Males",1999,24.07,18.49
"Colorado","Females",1999,20.99,15.69
"Colorado","Both",1999,22.51,17.07
"Colorado","Males",2000,23.68,17.87
"Colorado","Females",2000,20.8,15.75
"Colorado","Both",2000,22.21,16.79
"Colorado","Males",2001,23.2,17.41
"Colorado","Females",2001,20.3,15.27
"Colorado","Both",2001,21.73,16.32
"Colorado","Males",2002,23.3,16.98
"Colorado","Females",2002,20.12,15
"Colorado","Both",2002,21.68,15.97
"Colorado","Males",2003,23.54,16.77
